section,in_resume,title,institution,loc,start,end,description_1,description_2,description_3
education,TRUE,"M.S., Program Evaluation and Data Analytics",Arizona State University,"Phoenix, AZ",2022,2023,NA,NA,NA
education,TRUE,"B.S., Sociology, Criminology (minor Peace Studies)",Virginia Tech,"Blacksburg, VA",2017,2021,NA,NA,NA
research_positions,TRUE,Undergraduate Researcher,Virginia Tech,"Blacksburg, VA",2018,2019,Developed mathematical model to predict crime rates.,NA,NA
research_positions,TRUE,Data Science Researcher,Data Science Lab,Johns Hopkins University,2019,2020,Building R Shiny applications in the contexts of wearables and statistics education.,NA,NA
research_positions,TRUE,Graduate Research Assistant,Arizona State University,"Phoenix, AZ",2022,2023,Independently analyzed and constructed statistical models for large data sets.,NA,NA
industry_positions,TRUE,Data Visualization Intern,DriveTime,"Tempe, AZ",2023,2023,Built internal tool to help analyze and visualize user interaction.,NA,NA
industry_positions,TRUE,Data Science Intern,Intel,"Chandler, AZ",2023,2024,Worked with the product analytics team to help parse and visualize large stores of data to drive business decisions.,NA,NA
industry_positions,TRUE,Data Analyst,Intel,"Chandler, AZ",2024,2024,Analyzed and visualized data for Intel products and services.,NA,NA
industry_positions,TRUE,Data Journalist - Graphics Department,New York Times,"New York, New York",2025,2026,"Reporter with the graphics desk covering topics in science, politics, and sport.","Work primarily done in R, Javascript, and Adobe Illustrator.",NA
teaching_positions,TRUE,Statistics for Social Sciences,Virginia Tech,"Blacksburg, VA",2020,2021,TA and lectured,Covered introduction to statistics applications in social science settings.,Undergraduate level class
teaching_positions,TRUE,Statistics for Biological Sciences,Virginia Tech,"Blacksburg, VA",2017,2018,TA and lectured,Covered introduction to statistics applications in biology settings.,Undergraduate level class
data_science_writings,TRUE,[Classifying physical activity from smartphone data](https://blogs.rstudio.com/tensorflow/posts/2018-07-17-activity-detection/),RStudio Tensorflow Blog,NA,NA,2018,Walk through of training a convolutional neural network to achieve state of the art recognition of activities from accelerometer data.,Contracted article.,NA
